Name;URL;Code;Placed;Age;Type;Difficulty;Terrain;Status;Finds;AvgDays;LogMin;LogMax;LogAverage;Adopted;Logid;Exclude
By Falling Springs;http://www.geocaching.com/seek/cache_details.aspx?guid=3f7a3f1c-8632-461e-a18e-fb35c8e0d4f1;GCQQ12;2005-09-27;32.9;Traditional;1.5;1.5;Available;112;88;2;151;41;F;31717810;F
Cahokia History Tour;http://www.geocaching.com/seek/cache_details.aspx?guid=c84c8ebd-8736-4a1b-8eb5-ce3f27fec62c;GCKH1R;2004-09-11;45.6;Multi;2;1;Available;69;198;2;149;51;F;4969345;F
carondolet jr.;http://www.geocaching.com/seek/cache_details.aspx?guid=955b2d8b-b2cf-4aab-a67c-79f2f8f422c9;GCD197;2003-02-08;64.9;Traditional;1;2;Available;209;93;2;207;33;F;35683938;F
Columbia Memorial;http://www.geocaching.com/seek/cache_details.aspx?guid=ce329142-1206-46c5-a2ee-26a5cefb77f9;GCZBJ4;2006-11-12;19.3;Traditional;1;1;Available;97;59;1;101;25;F;28798177;F
Columbia's Second;http://www.geocaching.com/seek/cache_details.aspx?guid=bc512914-07f7-4b60-97df-7f7baee9f72d;GCZ6HW;2006-11-03;19.6;Traditional;2.5;1;Available;72;81;3;109;31;F;28645322;F
Getting Tired;http://www.geocaching.com/seek/cache_details.aspx?guid=27404121-a21d-4efa-a2fc-2dfd6bc18331;GCYAV9;2006-09-15;21.2;Traditional;1.5;2;Available;123;51;3;420;33;F;28079478;F
I-64 Travel Bug Bed & Breakfast;http://www.geocaching.com/seek/cache_details.aspx?guid=0e7f554b-4bc5-4490-8c0f-cfe2b8fde31e;GCJYN7;2004-07-10;40.3;Traditional;1;1;Archived;268;45;1;150;28;F;4317136;F
Inland Empire History Hike;http://www.geocaching.com/seek/cache_details.aspx?guid=37f21b0e-dd0c-4b51-9849-9c1c078870b8;GCKZE6;2004-11-01;30.6;Multi;5;3;Archived;3;3070;137;698;365;F;6622906;F
Left Behind;http://www.geocaching.com/seek/cache_details.aspx?guid=606d236f-2543-48a7-b47d-0dca18141f59;GCYAVJ;2006-09-15;21.2;Traditional;1;1.5;Available;167;38;1;420;30;F;28080168;F
Mississippi Half-Step Uptown Toodeloo;http://www.geocaching.com/seek/cache_details.aspx?guid=906ffbbc-227b-4c2c-81a4-c8f176fac775;GCJFDZ;2004-05-17;49.5;Multi;3.5;3.5;Available;33;451;6;224;64;F;5575269;F
This Old House 2;http://www.geocaching.com/seek/cache_details.aspx?guid=f522575b-238e-461b-9db3-30a35bb3c480;GC10XPJ;2007-02-12;16.2;Traditional;3;1;Available;54;90;2;144;37;F;23478482;F
Old School;http://www.geocaching.com/seek/cache_details.aspx?guid=4817a651-ff04-4491-ab9a-7081e2e71381;GC10P73;2007-01-31;16.6;Traditional;3.5;1.5;Available;61;81;4;203;37;F;23479828;F
Please DO NOT feed the horses;http://www.geocaching.com/seek/cache_details.aspx?guid=3af662c3-1f96-4a5c-9f6f-13bd0efacac6;GCYAVQ;2006-09-15;20.2;Traditional;1;1;Archived;8;761;2;195;66;F;36842735;F
